YYMM,CC-CODE,CC-DESC,RCODE-CODE,RCODE-DESC,CCAATT-CODE,CCAATT-DESC,CCAATTMM-CODE,CCAATTMM-DESC,MALE,FEMALE,TOTAL,HOUSE
5612,10,กรุงเทพมหานคร,1001,พระนคร,0, ,0, ,"27,279","29,405","56,684","19,257"
5612,10,กรุงเทพมหานคร,1002,ดุสิต,0, ,0, ,"57,158","49,653","106,811","32,082"
5612,10,กรุงเทพมหานคร,1003,หนองจอก,0, ,0, ,"77,988","81,974","159,962","54,857"
5612,10,กรุงเทพมหานคร,1004,บางรัก,0, ,0, ,"21,792","24,322","46,114","26,777"
5612,10,กรุงเทพมหานคร,1005,บางเขน,0, ,0, ,"91,208","99,336","190,544","95,741"
5612,10,กรุงเทพมหานคร,1006,บางกะปิ,0, ,0, ,"67,959","81,097","149,056","95,265"
5612,10,กรุงเทพมหานคร,1007,ปทุมวัน,0, ,0, ,"24,300","28,313","52,613","26,970"
5612,10,กรุงเทพมหานคร,1008,ป้อมปราบศัตรูพ่าย,0, ,0, ,"24,342","25,750","50,092","19,529"
5612,10,กรุงเทพมหานคร,1009,พระโขนง,0, ,0, ,"42,767","50,007","92,774","45,125"
5612,10,กรุงเทพมหานคร,1010,มีนบุรี,0, ,0, ,"65,517","73,144","138,661","53,584"
5612,10,กรุงเทพมหานคร,1011,ลาดกระบัง,0, ,0, ,"79,315","86,409","165,724","77,688"
5612,10,กรุงเทพมหานคร,1012,ยานนาวา,0, ,0, ,"38,574","42,588","81,162","47,980"
5612,10,กรุงเทพมหานคร,1013,สัมพันธวงศ์,0, ,0, ,"13,088","13,844","26,932","13,252"
5612,10,กรุงเทพมหานคร,1014,พญาไท,0, ,0, ,"36,109","36,386","72,495","38,415"
5612,10,กรุงเทพมหานคร,1015,ธนบุรี,0, ,0, ,"55,653","61,883","117,536","48,510"
5612,10,กรุงเทพมหานคร,1016,บางกอกใหญ่,0, ,0, ,"33,585","37,502","71,087","26,739"
5612,10,กรุงเทพมหานคร,1017,ห้วยขวาง,0, ,0, ,"36,107","42,836","78,943","59,649"
5612,10,กรุงเทพมหานคร,1018,คลองสาน,0, ,0, ,"35,488","40,277","75,765","36,495"
5612,10,กรุงเทพมหานคร,1019,ตลิ่งชัน,0, ,0, ,"50,109","56,083","106,192","38,825"
5612,10,กรุงเทพมหานคร,1020,บางกอกน้อย,0, ,0, ,"56,090","61,413","117,503","46,616"
5612,10,กรุงเทพมหานคร,1021,บางขุนเทียน,0, ,0, ,"80,540","89,074","169,614","77,350"
5612,10,กรุงเทพมหานคร,1022,ภาษีเจริญ,0, ,0, ,"60,901","68,658","129,559","49,968"
5612,10,กรุงเทพมหานคร,1023,หนองแขม,0, ,0, ,"71,202","80,675","151,877","56,222"
5612,10,กรุงเทพมหานคร,1024,ราษฎร์บูรณะ,0, ,0, ,"41,210","44,615","85,825","33,859"
5612,10,กรุงเทพมหานคร,1025,บางพลัด,0, ,0, ,"45,389","52,724","98,113","45,817"
5612,10,กรุงเทพมหานคร,1026,ดินแดง,0, ,0, ,"60,096","68,742","128,838","55,591"
5612,10,กรุงเทพมหานคร,1027,บึงกุ่ม,0, ,0, ,"66,926","78,896","145,822","67,801"
5612,10,กรุงเทพมหานคร,1028,สาทร,0, ,0, ,"39,987","43,911","83,898","36,403"
5612,10,กรุงเทพมหานคร,1029,บางซื่อ,0, ,0, ,"61,839","68,672","130,511","49,995"
5612,10,กรุงเทพมหานคร,1030,จตุจักร,0, ,0, ,"75,600","85,348","160,948","96,304"
5612,10,กรุงเทพมหานคร,1031,บางคอแหลม,0, ,0, ,"44,802","48,706","93,508","36,346"
5612,10,กรุงเทพมหานคร,1032,ประเวศ,0, ,0, ,"77,368","86,117","163,485","74,913"
5612,10,กรุงเทพมหานคร,1033,คลองเตย,0, ,0, ,"51,941","56,125","108,066","62,642"
5612,10,กรุงเทพมหานคร,1034,สวนหลวง,0, ,0, ,"54,087","62,601","116,688","62,255"
5612,10,กรุงเทพมหานคร,1035,จอมทอง,0, ,0, ,"75,457","81,699","157,156","61,962"
5612,10,กรุงเทพมหานคร,1036,ดอนเมือง,0, ,0, ,"83,714","84,113","167,827","67,797"
5612,10,กรุงเทพมหานคร,1037,ราชเทวี,0, ,0, ,"35,239","38,311","73,550","43,242"
5612,10,กรุงเทพมหานคร,1038,ลาดพร้าว,0, ,0, ,"55,821","66,620","122,441","52,300"
5612,10,กรุงเทพมหานคร,1039,วัฒนา,0, ,0, ,"38,976","43,661","82,637","62,049"
5612,10,กรุงเทพมหานคร,1040,บางแค,0, ,0, ,"90,017","102,102","192,119","77,864"
5612,10,กรุงเทพมหานคร,1041,หลักสี่,0, ,0, ,"52,164","56,885","109,049","47,272"
5612,10,กรุงเทพมหานคร,1042,สายไหม,0, ,0, ,"90,289","101,247","191,536","89,604"
5612,10,กรุงเทพมหานคร,1043,คันนายาว,0, ,0, ,"42,189","48,248","90,437","39,200"
5612,10,กรุงเทพมหานคร,1044,สะพานสูง,0, ,0, ,"42,270","49,088","91,358","34,027"
5612,10,กรุงเทพมหานคร,1045,วังทองหลาง,0, ,0, ,"52,749","62,056","114,805","57,178"
5612,10,กรุงเทพมหานคร,1046,คลองสามวา,0, ,0, ,"82,801","91,396","174,197","70,269"
5612,10,กรุงเทพมหานคร,1047,บางนา,0, ,0, ,"44,877","50,327","95,204","56,819"
5612,10,กรุงเทพมหานคร,1048,ทวีวัฒนา,0, ,0, ,"35,755","41,032","76,787","30,833"
5612,10,กรุงเทพมหานคร,1049,ทุ่งครุ,0, ,0, ,"55,457","62,205","117,662","47,130"
5612,10,กรุงเทพมหานคร,1050,บางบอน,0, ,0, ,"50,830","55,255","106,085","47,459"
5712,10,กรุงเทพมหานคร,1001,พระนคร,0, ,0, ,"26,695","28,678","55,373","19,258"
5712,10,กรุงเทพมหานคร,1002,ดุสิต,0, ,0, ,"55,627","48,767","104,394","32,342"
5712,10,กรุงเทพมหานคร,1003,หนองจอก,0, ,0, ,"79,435","83,163","162,598","56,769"
5712,10,กรุงเทพมหานคร,1004,บางรัก,0, ,0, ,"21,881","24,591","46,472","26,937"
5712,10,กรุงเทพมหานคร,1005,บางเขน,0, ,0, ,"90,960","99,699","190,659","97,256"
5712,10,กรุงเทพมหานคร,1006,บางกะปิ,0, ,0, ,"67,974","80,990","148,964","97,866"
5712,10,กรุงเทพมหานคร,1007,ปทุมวัน,0, ,0, ,"23,738","27,819","51,557","27,734"
5712,10,กรุงเทพมหานคร,1008,ป้อมปราบศัตรูพ่าย,0, ,0, ,"23,950","25,330","49,280","19,529"
5712,10,กรุงเทพมหานคร,1009,พระโขนง,0, ,0, ,"42,558","49,890","92,448","49,760"
5712,10,กรุงเทพมหานคร,1010,มีนบุรี,0, ,0, ,"65,915","73,856","139,771","54,306"
5712,10,กรุงเทพมหานคร,1011,ลาดกระบัง,0, ,0, ,"80,628","87,681","168,309","80,578"
5712,10,กรุงเทพมหานคร,1012,ยานนาวา,0, ,0, ,"38,378","42,465","80,843","49,364"
5712,10,กรุงเทพมหานคร,1013,สัมพันธวงศ์,0, ,0, ,"12,790","13,569","26,359","13,234"
5712,10,กรุงเทพมหานคร,1014,พญาไท,0, ,0, ,"35,841","36,362","72,203","39,193"
5712,10,กรุงเทพมหานคร,1015,ธนบุรี,0, ,0, ,"54,533","60,797","115,330","50,554"
5712,10,กรุงเทพมหานคร,1016,บางกอกใหญ่,0, ,0, ,"33,082","36,921","70,003","26,798"
5712,10,กรุงเทพมหานคร,1017,ห้วยขวาง,0, ,0, ,"36,551","43,451","80,002","65,131"
5712,10,กรุงเทพมหานคร,1018,คลองสาน,0, ,0, ,"35,192","40,032","75,224","37,448"
5712,10,กรุงเทพมหานคร,1019,ตลิ่งชัน,0, ,0, ,"49,911","55,946","105,857","39,296"
5712,10,กรุงเทพมหานคร,1020,บางกอกน้อย,0, ,0, ,"55,877","60,776","116,653","47,103"
5712,10,กรุงเทพมหานคร,1021,บางขุนเทียน,0, ,0, ,"82,163","90,981","173,144","80,667"
5712,10,กรุงเทพมหานคร,1022,ภาษีเจริญ,0, ,0, ,"60,665","68,573","129,238","51,625"
5712,10,กรุงเทพมหานคร,1023,หนองแขม,0, ,0, ,"71,781","81,394","153,175","57,298"
5712,10,กรุงเทพมหานคร,1024,ราษฎร์บูรณะ,0, ,0, ,"40,759","44,122","84,881","34,220"
5712,10,กรุงเทพมหานคร,1025,บางพลัด,0, ,0, ,"44,738","52,049","96,787","45,819"
5712,10,กรุงเทพมหานคร,1026,ดินแดง,0, ,0, ,"59,275","67,985","127,260","56,790"
5712,10,กรุงเทพมหานคร,1027,บึงกุ่ม,0, ,0, ,"66,737","78,777","145,514","69,412"
5712,10,กรุงเทพมหานคร,1028,สาทร,0, ,0, ,"39,185","43,247","82,432","39,578"
5712,10,กรุงเทพมหานคร,1029,บางซื่อ,0, ,0, ,"61,014","67,981","128,995","54,651"
5712,10,กรุงเทพมหานคร,1030,จตุจักร,0, ,0, ,"75,228","85,138","160,366","99,740"
5712,10,กรุงเทพมหานคร,1031,บางคอแหลม,0, ,0, ,"44,188","48,085","92,273","36,406"
5712,10,กรุงเทพมหานคร,1032,ประเวศ,0, ,0, ,"78,671","87,693","166,364","78,953"
5712,10,กรุงเทพมหานคร,1033,คลองเตย,0, ,0, ,"51,568","55,653","107,221","64,083"
5712,10,กรุงเทพมหานคร,1034,สวนหลวง,0, ,0, ,"54,805","63,566","118,371","65,869"
5712,10,กรุงเทพมหานคร,1035,จอมทอง,0, ,0, ,"74,894","81,136","156,030","63,846"
5712,10,กรุงเทพมหานคร,1036,ดอนเมือง,0, ,0, ,"83,909","84,288","168,197","69,239"
5712,10,กรุงเทพมหานคร,1037,ราชเทวี,0, ,0, ,"35,411","38,379","73,790","44,095"
5712,10,กรุงเทพมหานคร,1038,ลาดพร้าว,0, ,0, ,"55,637","66,559","122,196","53,475"
5712,10,กรุงเทพมหานคร,1039,วัฒนา,0, ,0, ,"39,391","44,129","83,520","64,637"
5712,10,กรุงเทพมหานคร,1040,บางแค,0, ,0, ,"89,851","102,115","191,966","79,524"
5712,10,กรุงเทพมหานคร,1041,หลักสี่,0, ,0, ,"51,480","56,317","107,797","48,135"
5712,10,กรุงเทพมหานคร,1042,สายไหม,0, ,0, ,"91,547","102,964","194,511","92,755"
5712,10,กรุงเทพมหานคร,1043,คันนายาว,0, ,0, ,"42,950","49,144","92,094","39,812"
5712,10,กรุงเทพมหานคร,1044,สะพานสูง,0, ,0, ,"42,817","49,918","92,735","34,807"
5712,10,กรุงเทพมหานคร,1045,วังทองหลาง,0, ,0, ,"52,489","61,756","114,245","58,316"
5712,10,กรุงเทพมหานคร,1046,คลองสามวา,0, ,0, ,"84,976","93,982","178,958","73,481"
5712,10,กรุงเทพมหานคร,1047,บางนา,0, ,0, ,"44,408","49,907","94,315","57,272"
5712,10,กรุงเทพมหานคร,1048,ทวีวัฒนา,0, ,0, ,"35,973","41,148","77,121","31,337"
5712,10,กรุงเทพมหานคร,1049,ทุ่งครุ,0, ,0, ,"56,184","63,165","119,349","47,824"
5712,10,กรุงเทพมหานคร,1050,บางบอน,0, ,0, ,"51,309","55,831","107,140","48,301"
5812,10,กรุงเทพมหานคร,1001,พระนคร,0, ,0, ,"26,022","27,877","53,899","19,273"
5812,10,กรุงเทพมหานคร,1002,ดุสิต,0, ,0, ,"54,111","47,465","101,576","32,644"
5812,10,กรุงเทพมหานคร,1003,หนองจอก,0, ,0, ,"80,723","84,558","165,281","58,965"
5812,10,กรุงเทพมหานคร,1004,บางรัก,0, ,0, ,"22,044","24,733","46,777","27,522"
5812,10,กรุงเทพมหานคร,1005,บางเขน,0, ,0, ,"90,822","99,661","190,483","101,537"
5812,10,กรุงเทพมหานคร,1006,บางกะปิ,0, ,0, ,"68,057","81,045","149,102","100,046"
5812,10,กรุงเทพมหานคร,1007,ปทุมวัน,0, ,0, ,"23,288","27,385","50,673","30,279"
5812,10,กรุงเทพมหานคร,1008,ป้อมปราบศัตรูพ่าย,0, ,0, ,"23,633","24,952","48,585","19,515"
5812,10,กรุงเทพมหานคร,1009,พระโขนง,0, ,0, ,"42,331","49,866","92,197","50,272"
5812,10,กรุงเทพมหานคร,1010,มีนบุรี,0, ,0, ,"66,276","74,426","140,702","55,711"
5812,10,กรุงเทพมหานคร,1011,ลาดกระบัง,0, ,0, ,"81,410","88,660","170,070","84,099"
5812,10,กรุงเทพมหานคร,1012,ยานนาวา,0, ,0, ,"37,970","42,241","80,211","50,674"
5812,10,กรุงเทพมหานคร,1013,สัมพันธวงศ์,0, ,0, ,"12,491","13,203","25,694","13,235"
5812,10,กรุงเทพมหานคร,1014,พญาไท,0, ,0, ,"35,685","36,179","71,864","40,095"
5812,10,กรุงเทพมหานคร,1015,ธนบุรี,0, ,0, ,"53,592","59,746","113,338","51,884"
5812,10,กรุงเทพมหานคร,1016,บางกอกใหญ่,0, ,0, ,"32,860","36,489","69,349","26,867"
5812,10,กรุงเทพมหานคร,1017,ห้วยขวาง,0, ,0, ,"36,774","43,961","80,735","68,596"
5812,10,กรุงเทพมหานคร,1018,คลองสาน,0, ,0, ,"34,949","39,847","74,796","37,665"
5812,10,กรุงเทพมหานคร,1019,ตลิ่งชัน,0, ,0, ,"49,745","55,868","105,613","40,827"
5812,10,กรุงเทพมหานคร,1020,บางกอกน้อย,0, ,0, ,"55,041","60,161","115,202","48,672"
5812,10,กรุงเทพมหานคร,1021,บางขุนเทียน,0, ,0, ,"83,802","92,922","176,724","82,799"
5812,10,กรุงเทพมหานคร,1022,ภาษีเจริญ,0, ,0, ,"60,366","68,095","128,461","52,657"
5812,10,กรุงเทพมหานคร,1023,หนองแขม,0, ,0, ,"72,309","82,080","154,389","58,210"
5812,10,กรุงเทพมหานคร,1024,ราษฎร์บูรณะ,0, ,0, ,"40,378","43,779","84,157","35,516"
5812,10,กรุงเทพมหานคร,1025,บางพลัด,0, ,0, ,"44,073","51,405","95,478","45,853"
5812,10,กรุงเทพมหานคร,1026,ดินแดง,0, ,0, ,"58,583","67,381","125,964","57,373"
5812,10,กรุงเทพมหานคร,1027,บึงกุ่ม,0, ,0, ,"66,299","78,362","144,661","71,794"
5812,10,กรุงเทพมหานคร,1028,สาทร,0, ,0, ,"38,892","42,853","81,745","40,043"
5812,10,กรุงเทพมหานคร,1029,บางซื่อ,0, ,0, ,"60,299","67,417","127,716","55,520"
5812,10,กรุงเทพมหานคร,1030,จตุจักร,0, ,0, ,"74,692","84,822","159,514","101,601"
5812,10,กรุงเทพมหานคร,1031,บางคอแหลม,0, ,0, ,"43,772","47,633","91,405","37,920"
5812,10,กรุงเทพมหานคร,1032,ประเวศ,0, ,0, ,"79,963","89,249","169,212","84,487"
5812,10,กรุงเทพมหานคร,1033,คลองเตย,0, ,0, ,"51,029","55,204","106,233","65,006"
5812,10,กรุงเทพมหานคร,1034,สวนหลวง,0, ,0, ,"55,459","64,677","120,136","69,756"
5812,10,กรุงเทพมหานคร,1035,จอมทอง,0, ,0, ,"74,208","80,840","155,048","68,378"
5812,10,กรุงเทพมหานคร,1036,ดอนเมือง,0, ,0, ,"83,819","84,459","168,278","70,923"
5812,10,กรุงเทพมหานคร,1037,ราชเทวี,0, ,0, ,"35,363","38,234","73,597","45,103"
5812,10,กรุงเทพมหานคร,1038,ลาดพร้าว,0, ,0, ,"55,399","66,444","121,843","54,051"
5812,10,กรุงเทพมหานคร,1039,วัฒนา,0, ,0, ,"39,750","44,464","84,214","66,723"
5812,10,กรุงเทพมหานคร,1040,บางแค,0, ,0, ,"89,878","102,403","192,281","85,144"
5812,10,กรุงเทพมหานคร,1041,หลักสี่,0, ,0, ,"50,796","55,861","106,657","50,370"
5812,10,กรุงเทพมหานคร,1042,สายไหม,0, ,0, ,"92,951","104,764","197,715","94,942"
5812,10,กรุงเทพมหานคร,1043,คันนายาว,0, ,0, ,"44,042","50,200","94,242","40,360"
5812,10,กรุงเทพมหานคร,1044,สะพานสูง,0, ,0, ,"43,314","50,540","93,854","35,599"
5812,10,กรุงเทพมหานคร,1045,วังทองหลาง,0, ,0, ,"52,118","61,403","113,521","59,136"
5812,10,กรุงเทพมหานคร,1046,คลองสามวา,0, ,0, ,"87,459","96,847","184,306","76,179"
5812,10,กรุงเทพมหานคร,1047,บางนา,0, ,0, ,"43,812","49,485","93,297","60,341"
5812,10,กรุงเทพมหานคร,1048,ทวีวัฒนา,0, ,0, ,"36,190","41,414","77,604","31,716"
5812,10,กรุงเทพมหานคร,1049,ทุ่งครุ,0, ,0, ,"56,792","63,821","120,613","49,082"
5812,10,กรุงเทพมหานคร,1050,บางบอน,0, ,0, ,"51,420","55,977","107,397","49,012"
5912,10,กรุงเทพมหานคร,1001,พระนคร,0, ,0, ,"25,403","27,119","52,522","19,221"
5912,10,กรุงเทพมหานคร,1002,ดุสิต,0, ,0, ,"52,584","45,866","98,450","32,338"
5912,10,กรุงเทพมหานคร,1003,หนองจอก,0, ,0, ,"81,944","85,900","167,844","60,546"
5912,10,กรุงเทพมหานคร,1004,บางรัก,0, ,0, ,"22,347","24,961","47,308","30,081"
5912,10,กรุงเทพมหานคร,1005,บางเขน,0, ,0, ,"91,071","99,757","190,828","104,598"
5912,10,กรุงเทพมหานคร,1006,บางกะปิ,0, ,0, ,"67,641","80,751","148,392","100,751"
5912,10,กรุงเทพมหานคร,1007,ปทุมวัน,0, ,0, ,"22,719","26,875","49,594","30,752"
5912,10,กรุงเทพมหานคร,1008,ป้อมปราบศัตรูพ่าย,0, ,0, ,"22,994","24,456","47,450","19,674"
5912,10,กรุงเทพมหานคร,1009,พระโขนง,0, ,0, ,"41,703","49,602","91,305","50,662"
5912,10,กรุงเทพมหานคร,1010,มีนบุรี,0, ,0, ,"66,567","74,647","141,214","56,839"
5912,10,กรุงเทพมหานคร,1011,ลาดกระบัง,0, ,0, ,"82,232","89,701","171,933","87,658"
5912,10,กรุงเทพมหานคร,1012,ยานนาวา,0, ,0, ,"37,624","41,950","79,574","50,803"
5912,10,กรุงเทพมหานคร,1013,สัมพันธวงศ์,0, ,0, ,"12,014","12,771","24,785","13,238"
5912,10,กรุงเทพมหานคร,1014,พญาไท,0, ,0, ,"36,118","35,984","72,102","41,518"
5912,10,กรุงเทพมหานคร,1015,ธนบุรี,0, ,0, ,"52,414","58,613","111,027","54,058"
5912,10,กรุงเทพมหานคร,1016,บางกอกใหญ่,0, ,0, ,"32,065","35,822","67,887","29,861"
5912,10,กรุงเทพมหานคร,1017,ห้วยขวาง,0, ,0, ,"36,898","44,292","81,190","69,142"
5912,10,กรุงเทพมหานคร,1018,คลองสาน,0, ,0, ,"34,413","39,458","73,871","38,181"
5912,10,กรุงเทพมหานคร,1019,ตลิ่งชัน,0, ,0, ,"49,491","55,798","105,289","41,345"
5912,10,กรุงเทพมหานคร,1020,บางกอกน้อย,0, ,0, ,"53,382","59,199","112,581","48,709"
5912,10,กรุงเทพมหานคร,1021,บางขุนเทียน,0, ,0, ,"85,107","94,661","179,768","84,599"
5912,10,กรุงเทพมหานคร,1022,ภาษีเจริญ,0, ,0, ,"59,927","67,655","127,582","53,577"
5912,10,กรุงเทพมหานคร,1023,หนองแขม,0, ,0, ,"72,638","82,591","155,229","58,908"
5912,10,กรุงเทพมหานคร,1024,ราษฎร์บูรณะ,0, ,0, ,"39,903","43,345","83,248","35,842"
5912,10,กรุงเทพมหานคร,1025,บางพลัด,0, ,0, ,"43,265","50,506","93,771","47,479"
5912,10,กรุงเทพมหานคร,1026,ดินแดง,0, ,0, ,"57,524","66,442","123,966","58,107"
5912,10,กรุงเทพมหานคร,1027,บึงกุ่ม,0, ,0, ,"66,156","78,293","144,449","72,370"
5912,10,กรุงเทพมหานคร,1028,สาทร,0, ,0, ,"38,245","42,252","80,497","41,304"
5912,10,กรุงเทพมหานคร,1029,บางซื่อ,0, ,0, ,"59,467","66,669","126,136","60,466"
5912,10,กรุงเทพมหานคร,1030,จตุจักร,0, ,0, ,"73,962","84,168","158,130","107,192"
5912,10,กรุงเทพมหานคร,1031,บางคอแหลม,0, ,0, ,"43,099","47,278","90,377","39,129"
5912,10,กรุงเทพมหานคร,1032,ประเวศ,0, ,0, ,"81,425","91,336","172,761","86,555"
